intent_id,display_name,categoria,corpus_ref,confianza_minima,confianza_minima_anterior,criterio_calibracion,n_validacion,score_minimo_correcto,margen_aplicado,observaciones
consulta_cursos_electivos,Cuántos cursos electivos debo llevar durante la carrera,CUR,CUR-007,0.65,0.74,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_horario_clases,Dónde puedo ver el horario de clases del semestre,CUR,CUR-008,0.65,0.74,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_creditos_definicion,Qué son los créditos académicos y cómo se calculan,CUR,CUR-009,0.65,0.74,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_promedio_ponderado,Cómo se calcula el promedio ponderado semestral,CUR,CUR-010,0.65,0.74,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_esp_listado_especialidades,Cuáles son las especialidades que ofrece la Escuela de Ingen,ESP,ESP-001,0.62,0.73,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_cuando_elegir,Cuándo debo elegir mi especialidad,ESP,ESP-002,0.62,0.73,piso_categoria_aplicado,4,0.3333,0.1,Score mínimo calculado (0.300) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_demanda_laboral,Qué especialidad tiene más demanda laboral en la región,ESP,ESP-003,0.62,0.73,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_cursos_ingenieria_software,Cuáles son los cursos de la especialidad de Ingeniería de So,ESP,ESP-004,0.62,0.73,piso_categoria_aplicado,4,0.375,0.1,Score mínimo calculado (0.338) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_cambio_especialidad,Puedo cambiar de especialidad una vez que la elegí,ESP,ESP-005,0.62,0.73,piso_categoria_aplicado,4,0.1667,0.1,Score mínimo calculado (0.150) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_cursos_redes_telecom,Qué cursos incluye la especialidad de Redes y Telecomunicaci,ESP,ESP-006,0.62,0.73,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_ia_ciencia_datos,Qué es la especialidad de Inteligencia Artificial y Ciencia ,ESP,ESP-007,0.62,0.73,piso_categoria_aplicado,4,0.5714,0.1,Score mínimo calculado (0.514) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_seguridad_certificaciones,La especialidad de Seguridad Informática tiene certificacion,ESP,ESP-008,0.62,0.73,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_convenios_practicas,Las especialidades tienen convenios con empresas para prácti,ESP,ESP-009,0.62,0.73,piso_categoria_aplicado,4,0.1667,0.1,Score mínimo calculado (0.150) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_esp_electivos_cruzados,Puedo llevar cursos de otras especialidades como electivos,ESP,ESP-010,0.62,0.73,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.62). Se elevó al piso.
consulta_ppp_requisitos_inicio,Cuáles son los requisitos para iniciar las prácticas pre-pro,PPP,PPP-001,0.7,0.76,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_horas_acumuladas,Cuántas horas de prácticas debo acumular,PPP,PPP-002,0.7,0.76,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_empresa_convenio,La empresa donde hago prácticas debe tener convenio con la U,PPP,PPP-003,0.7,0.76,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_carta_presentacion,Cómo consigo la carta de presentación para las prácticas,PPP,PPP-004,0.7,0.76,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_informe_final,Qué es el informe de prácticas y cuándo debo presentarlo,PPP,PPP-005,0.7,0.76,piso_categoria_aplicado,4,0.5714,0.1,Score mínimo calculado (0.514) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_remuneracion,Las prácticas pre-profesionales son remuneradas,PPP,PPP-006,0.7,0.76,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_sector_publico,Puedo hacer mis prácticas en una empresa pública o instituci,PPP,PPP-007,0.7,0.76,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_supervision_universidad,Quién supervisa y evalúa mis prácticas desde la universidad,PPP,PPP-008,0.7,0.76,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_trabajo_actual,Puedo hacer las prácticas en la misma empresa donde trabajo,PPP,PPP-009,0.7,0.76,piso_categoria_aplicado,4,0.3333,0.1,Score mínimo calculado (0.300) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_ppp_requisito_titulacion,Las prácticas pre-profesionales son un requisito para titula,PPP,PPP-010,0.7,0.76,piso_categoria_aplicado,4,0.2,0.1,Score mínimo calculado (0.180) caía por debajo del piso de categoría (0.70). Se elevó al piso.
consulta_bie_servicios_generales,Qué servicios de bienestar ofrece la UNSAAC a sus estudiante,BIE,BIE-001,0.65,0.74,piso_categoria_aplicado,4,0.25,0.1,Score mínimo calculado (0.225) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_atencion_psicologica,Cómo puedo acceder a la atención psicológica gratuita,BIE,BIE-002,0.65,0.74,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_beca_alimentacion,Qué es la beca de alimentación y cómo la solicito,BIE,BIE-003,0.65,0.74,piso_categoria_aplicado,4,0.4,0.1,Score mínimo calculado (0.360) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_apoyo_economico,Existe apoyo económico para estudiantes en situación de vuln,BIE,BIE-004,0.65,0.74,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_seguro_estudiantil,Cómo funciona el seguro estudiantil de la UNSAAC,BIE,BIE-005,0.65,0.74,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_deportes_cultura,Qué deportes y actividades culturales puedo practicar en la ,BIE,BIE-006,0.65,0.74,piso_categoria_aplicado,4,0.25,0.1,Score mínimo calculado (0.225) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_residencia_universitaria,La UNSAAC tiene residencia universitaria para estudiantes de,BIE,BIE-007,0.65,0.74,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_certificado_socioeconomico,Cómo solicito un certificado de situación socioeconómica,BIE,BIE-008,0.65,0.74,piso_categoria_aplicado,4,0.2,0.1,Score mínimo calculado (0.180) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_comedor_acceso,El comedor universitario está disponible para todos los estu,BIE,BIE-009,0.65,0.74,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_bie_contacto_oficina,A qué número o correo puedo comunicarme con Bienestar Univer,BIE,BIE-010,0.65,0.74,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_mov_programas_disponibles,Qué programas de movilidad estudiantil ofrece la UNSAAC,MOV,MOV-001,0.55,0.68,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_requisitos_intercambio,Cuáles son los requisitos mínimos para participar en un prog,MOV,MOV-002,0.55,0.68,piso_categoria_aplicado,4,0.3333,0.1,Score mínimo calculado (0.300) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_convalidacion_cursos,Los cursos llevados en el intercambio se convalidan en la UN,MOV,MOV-003,0.55,0.68,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_apoyo_economico,Hay apoyo económico para los estudiantes que van de intercam,MOV,MOV-004,0.55,0.68,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_estudiantes_entrantes,Puedo recibir estudiantes de intercambio de otras universida,MOV,MOV-005,0.55,0.68,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_convocatorias,Dónde puedo enterarme de las convocatorias de movilidad estu,MOV,MOV-006,0.55,0.68,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_documentos_postulacion,Qué documentos necesito para postular a la movilidad estudia,MOV,MOV-007,0.55,0.68,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_impacto_titulacion,El intercambio afecta mi proceso de titulación o retrasa mi ,MOV,MOV-008,0.55,0.68,piso_categoria_aplicado,4,0.1667,0.1,Score mínimo calculado (0.150) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_requisito_idioma,Necesito dominar otro idioma para participar en la movilidad,MOV,MOV-009,0.55,0.68,piso_categoria_aplicado,4,0.2222,0.1,Score mínimo calculado (0.200) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mov_universidades_convenio,La UNSAAC tiene convenios con universidades reconocidas inte,MOV,MOV-010,0.55,0.68,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.55). Se elevó al piso.
consulta_mat_fechas_matricula,Cuándo se realizan las matrículas en la UNSAAC,MAT,MAT-001,0.75,0.8,piso_categoria_aplicado,4,0.375,0.1,Score mínimo calculado (0.338) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_proceso_serunsa,Cómo me matriculo en el portal SERUNSA,MAT,MAT-002,0.75,0.8,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_requisitos,Cuáles son los requisitos para poder matricularme,MAT,MAT-003,0.75,0.8,piso_categoria_aplicado,4,0.3333,0.1,Score mínimo calculado (0.300) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_modalidad_presencial,Puedo hacer la matrícula de forma presencial,MAT,MAT-004,0.75,0.8,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_fuera_de_plazo,Qué hago si no pude matricularme dentro del plazo establecid,MAT,MAT-005,0.75,0.8,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_creditos_maximo,Cuántos créditos máximos puedo llevar por semestre,MAT,MAT-006,0.75,0.8,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_retiro_curso,Puedo retirar un curso después de matricularme,MAT,MAT-007,0.75,0.8,piso_categoria_aplicado,4,0.6667,0.1,Score mínimo calculado (0.600) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_condicional,Qué es la matrícula condicional y cuándo aplica,MAT,MAT-008,0.75,0.8,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_costo,Cuánto cuesta la matrícula en la UNSAAC,MAT,MAT-009,0.75,0.8,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_mat_seguro_activacion,Qué es el seguro universitario y cuándo se activa con la mat,MAT,MAT-010,0.75,0.8,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.75). Se elevó al piso.
consulta_tit_modalidades,Cuáles son las modalidades de titulación disponibles en la E,TIT,TIT-001,0.72,0.78,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_requisitos_inicio,Cuáles son los requisitos para iniciar el proceso de titulac,TIT,TIT-002,0.72,0.78,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_grado_bachiller,Cómo obtengo el grado de Bachiller,TIT,TIT-003,0.72,0.78,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_plazo_titulacion,Cuánto tiempo tengo para titularme después de terminar los c,TIT,TIT-004,0.72,0.78,piso_categoria_aplicado,4,0.3333,0.1,Score mínimo calculado (0.300) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_suficiencia_profesional,Qué es un trabajo de suficiencia profesional,TIT,TIT-005,0.72,0.78,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_eleccion_asesor,Cómo escojo a mi asesor de tesis,TIT,TIT-006,0.72,0.78,piso_categoria_aplicado,4,0.5714,0.1,Score mínimo calculado (0.514) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_duracion_proceso,Cuánto tiempo toma habitualmente el proceso de titulación,TIT,TIT-007,0.72,0.78,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_jurado_sustentacion,En qué consiste el jurado de sustentación,TIT,TIT-008,0.72,0.78,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_desaprobacion_sustentacion,Qué pasa si desapruebo la sustentación,TIT,TIT-009,0.72,0.78,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_tit_registro_sunedu,Dónde debo registrar mi título una vez obtenido,TIT,TIT-010,0.72,0.78,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.72). Se elevó al piso.
consulta_ser_biblioteca,Cómo accedo a los recursos de la biblioteca universitaria,SER,SER-001,0.65,0.76,piso_categoria_aplicado,4,0.25,0.1,Score mínimo calculado (0.225) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_correo_institucional,Cómo obtengo mi correo institucional de la UNSAAC,SER,SER-002,0.65,0.76,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_certificados_constancias,Dónde solicito mis certificados y constancias académicas,SER,SER-003,0.65,0.76,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_aula_virtual,Cómo puedo acceder al aula virtual de la UNSAAC,SER,SER-004,0.65,0.76,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_laboratorios_computo,La UNSAAC cuenta con laboratorios de cómputo disponibles par,SER,SER-005,0.65,0.76,piso_categoria_aplicado,4,0.375,0.1,Score mínimo calculado (0.338) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_carta_presentacion,Cómo solicito una carta de presentación para eventos o concu,SER,SER-006,0.65,0.76,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_impresion_campus,Existe un servicio de impresión o fotocopiado dentro del cam,SER,SER-007,0.65,0.76,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_record_notas,Cómo puedo obtener mi récord de notas oficial,SER,SER-008,0.65,0.76,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_tupa,Qué es el TUPA y dónde puedo consultarlo,SER,SER-009,0.65,0.76,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_ser_contacto_secretaria,Cómo me comunico con la secretaría de la Escuela de Ingenier,SER,SER-010,0.65,0.76,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.65). Se elevó al piso.
